# Controles da leva 02 -- public site. Spec: Docs/spec-02-public-site.md 12.2, com a EMENDA-02-01.
# Um controle por linha, campos separados por TAB. Nenhum comando contem TAB.
# Toda varredura de src exclui bin e obj (A8): os manifestos de static web assets em
# bin/obj ja citam os nomes dos arquivos de fonte hoje, e sem o corte C07 nunca chega a 0.
# Todo padrao que comeca com hifen vai atras de -e, senao o grep o le como opcao (medido).
# tipo	alvo	padrao	rotulo	esperado
nome-exato	src/OrlandoUp.Web/Pages	DeliveryAreas.cshtml	C01 a pagina de areas de entrega existe	sim
cmd	src/OrlandoUp.Web/wwwroot/fonts	ls -1 src/OrlandoUp.Web/wwwroot/fonts | grep -i woff2 | LC_ALL=C sort | paste -sd,	C02 A6 as quatro woff2 estao la e a fonte aposentada nao deixou arquivo	bricolage-grotesque-latin-ext.woff2,bricolage-grotesque-latin.woff2,manrope-latin-ext.woff2,manrope-latin.woff2
cmd	src	n=$(grep -rIioF --exclude-dir=bin --exclude-dir=obj -e "#F26B1D" src | wc -l); echo ${n:-0}	C03 D29 a cor de acao aposentada nao aparece em src	0
cmd	src	test $(grep -rIioF --exclude-dir=bin --exclude-dir=obj -e "#FFC72C" src | wc -l) -ge 1 && echo sim || echo nao	C04 ALCANCE de C03 a varredura alcanca o hex de acao em uso	sim
cmd	src	n=$(grep -rIoE --exclude-dir=bin --exclude-dir=obj -e "--color-(action-text|action|trust|surface)" src | wc -l); echo ${n:-0}	C05 A5 os quatro nomes de token aposentados sumiram de src	0
cmd	src	test $(grep -rIoE --exclude-dir=bin --exclude-dir=obj -e "--color-(sun|navy|paper|link)" src | wc -l) -ge 1 && echo sim || echo nao	C06 ALCANCE de C05 a varredura alcanca os tokens v1 em uso	sim
cmd	src	n=$(grep -rIio --exclude-dir=bin --exclude-dir=obj -e nunito src | wc -l); echo ${n:-0}	C07 D29 a familia aposentada nao e mais nomeada em src	0
cmd	src/OrlandoUp.Web/wwwroot/css/site.css	test $(grep -ciF -e bricolage src/OrlandoUp.Web/wwwroot/css/site.css || true) -ge 1 && echo sim || echo nao	C08 ALCANCE de C07 o arquivo de estilo NOMEIA a familia de titulo nao so a licenca	sim
cmd	src/OrlandoUp.Web/Pages	grep -rIlE --include=*.cshtml -e "CurrentUICulture|SiteCultures|isPortuguese" src/OrlandoUp.Web/Pages | LC_ALL=C sort | paste -sd,	C09 A2 D6-02 so os dois leiautes ramificam por cultura na marcacao	src/OrlandoUp.Web/Pages/Shared/_AdminLayout.cshtml,src/OrlandoUp.Web/Pages/Shared/_Layout.cshtml
cmd	src/OrlandoUp.Web/Pages	a=$(grep -rIE --include=*.cshtml --exclude-dir=Admin -e "asp-page=" src/OrlandoUp.Web/Pages | grep -v "_AdminLayout[.]cshtml:" | wc -l); c=$(grep -rIE --include=*.cshtml --exclude-dir=Admin -e "asp-route-culture=" src/OrlandoUp.Web/Pages | grep -v "_AdminLayout[.]cshtml:" | wc -l); echo $(( ${a:-0} - ${c:-0} ))	C10 A3 D10-02 RELACAO todo link publico declara a cultura na mesma linha	0
cmd	src/OrlandoUp.Web/Pages	test $(grep -rIE --include=*.cshtml --exclude-dir=Admin -e "asp-page=" src/OrlandoUp.Web/Pages | grep -v "_AdminLayout[.]cshtml:" | wc -l) -ge 8 && echo sim || echo nao	C11 ALCANCE de C10 o operando maior e maior ou igual a 8	sim
cmd	src/OrlandoUp.Web/wwwroot/css/site.css	n=$(grep -cE -e "outline: *none" src/OrlandoUp.Web/wwwroot/css/site.css || true); echo ${n:-0}	C12 D9 nenhum anel de foco removido no arquivo de estilo	0
cmd	src/OrlandoUp.Web/wwwroot/css/site.css	test $(grep -cF -e focus-visible src/OrlandoUp.Web/wwwroot/css/site.css || true) -ge 1 && echo sim || echo nao	C13 ALCANCE de C12 o arquivo de estilo define foco visivel	sim
cmd	src	{ grep -rIlF --exclude-dir=bin --exclude-dir=obj -e "application/ld+json" src || true; } | LC_ALL=C sort | paste -sd, | grep . || echo nenhum	C14 A4 os dados estruturados entram por um arquivo so Pages/Shared/_StructuredData.cshtml	src/OrlandoUp.Web/Pages/Shared/_StructuredData.cshtml
cmd	src	{ grep -rIlF --exclude-dir=bin --exclude-dir=obj -e sitemap.xml src || true; } | LC_ALL=C sort | paste -sd, | grep . || echo nenhum	C15 A4 o endereco do sitemap e escrito num arquivo so Api/SitemapEndpoints.cs	src/OrlandoUp.Web/Api/SitemapEndpoints.cs
cmd	src	n=$(grep -rIloE --exclude-dir=bin --exclude-dir=obj --exclude=CatalogSeedData.cs -e "drive-scout-4|drive-spitfire-ex|drive-wheelchair|single-stroller|double-stroller|triple-stroller|infant-stroller|disney-resorts|universal-resorts|idrive-lbv-hotels|vacation-homes" src | wc -l); echo ${n:-0}	C16 E4 nenhum identificador de catalogo digitado em codigo fora do seed	0
cmd	src/OrlandoUp.Web/Infrastructure/Seeding/CatalogSeedData.cs	test $(grep -coE -e "drive-scout-4|drive-spitfire-ex|drive-wheelchair|single-stroller|double-stroller|triple-stroller|infant-stroller|disney-resorts|universal-resorts|idrive-lbv-hotels|vacation-homes" src/OrlandoUp.Web/Infrastructure/Seeding/CatalogSeedData.cs || true) -ge 7 && echo sim || echo nao	C17 ALCANCE de C16 a varredura reconhece os identificadores dentro do seed	sim
